aX,aY,aZ,gX,gY,gZ
0.110,1.038,1.477,-107.788,357.910,-21.912
0.125,1.015,1.484,-84.778,396.362,-56.580
0.147,0.934,1.409,-49.622,432.800,-73.608
0.237,0.863,1.202,-12.207,454.529,-82.397
0.379,0.857,0.916,29.480,446.106,-97.351
0.440,0.874,0.569,76.904,410.339,-119.873
0.403,0.841,0.214,120.728,364.807,-141.663
0.339,0.734,-0.052,156.494,317.383,-160.034
0.265,0.560,-0.249,178.040,264.282,-173.950
0.190,0.398,-0.408,179.932,205.200,-184.692
0.157,0.267,-0.512,169.128,141.602,-198.364
0.175,0.146,-0.546,153.137,74.707,-216.064
0.222,0.030,-0.545,141.296,9.338,-236.206
0.274,-0.138,-0.536,130.676,-51.758,-254.089
0.313,-0.358,-0.507,113.464,-113.342,-264.038
0.371,-0.582,-0.508,100.159,-177.185,-262.573
0.489,-0.793,-0.536,94.299,-252.258,-250.671
0.668,-0.996,-0.500,96.924,-346.863,-229.492
0.888,-1.184,-0.352,100.037,-445.007,-201.416
1.126,-1.340,-0.062,98.633,-529.297,-171.448
1.377,-1.453,0.337,97.961,-594.910,-143.372
1.566,-1.544,0.773,96.313,-644.104,-116.028
1.616,-1.651,1.237,90.698,-675.415,-86.304
1.455,-1.854,1.723,72.937,-680.115,-53.955
0.895,-2.152,2.310,55.603,-641.174,-2.380
0.095,-2.313,2.971,51.392,-535.828,78.186
-0.471,-2.220,3.391,57.800,-373.413,162.354
-0.577,-2.048,3.345,74.097,-205.688,228.943
-0.305,-1.880,2.929,95.581,-75.867,283.936
0.152,-1.674,2.373,89.478,7.019,314.270
0.549,-1.478,1.834,32.654,49.561,312.256
0.727,-1.338,1.474,-51.514,57.800,299.072
0.731,-1.192,1.387,-119.568,51.086,293.701
0.642,-0.953,1.520,-149.170,51.575,299.927
0.547,-0.595,1.750,-157.043,67.566,308.777
0.511,-0.118,1.960,-157.593,94.849,298.889
0.489,0.380,2.110,-156.006,128.296,251.343
0.413,0.722,2.171,-141.724,167.358,177.002
0.316,0.859,2.068,-111.145,206.787,104.858
0.257,0.834,1.835,-66.223,236.755,49.988
0.239,0.687,1.566,-13.306,254.761,15.686
0.247,0.512,1.303,40.039,258.240,-2.136
0.282,0.378,1.073,84.290,244.690,-14.404
0.309,0.284,0.912,115.784,221.191,-33.142
0.275,0.181,0.821,130.371,198.547,-57.251
0.206,0.040,0.742,129.578,181.885,-76.294
0.144,-0.102,0.649,116.699,168.091,-88.257
0.107,-0.209,0.552,96.558,153.137,-95.825
0.093,-0.283,0.457,74.768,133.667,-101.807
0.070,-0.349,0.377,54.810,110.718,-106.873
0.018,-0.429,0.312,37.354,85.571,-108.154
-0.036,-0.510,0.276,23.499,60.059,-102.295
-0.074,-0.566,0.280,16.052,34.851,-89.966
-0.109,-0.597,0.311,15.625,10.742,-73.181
-0.140,-0.609,0.372,22.827,-11.414,-53.711
-0.171,-0.602,0.462,34.241,-29.114,-33.997
-0.193,-0.572,0.561,45.227,-40.100,-17.273
-0.202,-0.522,0.657,53.711,-45.776,-7.629
-0.215,-0.487,0.731,56.519,-46.387,-5.066
-0.240,-0.487,0.777,52.917,-42.480,-5.310
-0.260,-0.497,0.806,44.312,-35.706,-5.737
-0.273,-0.500,0.825,34.119,-28.564,-6.226
-0.270,-0.487,0.840,25.452,-21.912,-6.531
-0.262,-0.469,0.850,20.752,-16.907,-7.446
-0.267,-0.459,0.857,18.799,-13.855,-7.812
-0.273,-0.457,0.861,18.005,-10.986,-6.836
-0.276,-0.452,0.865,17.883,-8.301,-4.700
-0.273,-0.437,0.879,17.822,-6.165,-2.869
-0.269,-0.416,0.898,17.456,-3.052,-2.991
-0.267,-0.406,0.907,15.320,0.244,-4.456
