aX,aY,aZ,gX,gY,gZ
0.257,-1.113,1.204,-117.981,145.386,-79.895
0.251,-1.140,1.197,-126.465,163.147,-64.575
0.267,-1.128,1.180,-140.869,183.411,-51.575
0.278,-1.168,1.104,-158.813,203.918,-37.170
0.295,-1.262,0.945,-185.608,219.788,-13.062
0.370,-1.263,0.734,-217.224,221.191,23.560
0.465,-1.169,0.515,-230.896,201.599,65.186
0.504,-1.063,0.326,-219.849,167.969,105.225
0.470,-0.983,0.202,-198.425,131.531,139.587
0.438,-0.952,0.127,-180.847,97.778,169.617
0.396,-0.933,0.076,-167.053,69.458,199.951
0.330,-0.894,0.033,-154.663,38.513,230.286
0.295,-0.847,-0.043,-145.874,1.953,259.338
0.279,-0.738,-0.162,-137.451,-40.894,285.583
0.311,-0.560,-0.264,-118.347,-90.881,303.772
0.381,-0.368,-0.307,-87.952,-145.569,312.439
0.427,-0.178,-0.315,-65.918,-203.552,312.073
0.483,-0.018,-0.283,-63.660,-267.883,300.232
0.561,0.066,-0.147,-73.547,-336.121,280.273
0.565,0.126,0.130,-70.068,-391.724,257.385
0.499,0.220,0.459,-56.641,-420.837,236.877
0.447,0.325,0.736,-35.278,-427.246,221.924
0.278,0.479,0.969,11.475,-412.903,208.984
0.021,0.731,1.097,67.383,-375.122,190.857
-0.145,0.962,1.105,106.750,-332.886,152.283
-0.211,1.036,1.045,123.352,-304.077,89.417
-0.124,0.969,0.935,117.126,-292.297,15.625
0.059,0.789,0.833,96.985,-294.739,-50.537
0.232,0.579,0.784,72.510,-304.749,-96.741
0.377,0.433,0.784,59.937,-317.566,-124.756
0.478,0.351,0.835,65.063,-326.416,-144.165
0.535,0.307,0.968,81.604,-328.918,-160.095
0.511,0.267,1.220,110.413,-321.594,-168.213
0.388,0.255,1.518,156.189,-294.678,-160.950
0.293,0.355,1.767,208.862,-245.178,-150.940
0.243,0.490,1.956,231.995,-195.862,-166.443
0.216,0.471,2.069,212.891,-151.733,-205.627
0.262,0.346,2.125,174.011,-107.300,-246.704
0.349,0.215,2.165,132.324,-61.218,-282.593
0.392,0.043,2.224,97.046,-8.240,-307.007
0.386,-0.167,2.275,63.599,52.673,-315.674
0.407,-0.339,2.248,24.536,109.680,-312.012
0.499,-0.445,2.136,-24.536,155.762,-305.603
0.631,-0.531,1.979,-70.251,186.035,-295.959
0.744,-0.616,1.813,-97.107,200.806,-272.034
0.808,-0.691,1.657,-101.746,205.444,-229.553
0.757,-0.782,1.506,-88.257,202.393,-173.096
0.614,-0.834,1.404,-61.829,198.364,-117.432
0.486,-0.789,1.376,-43.335,196.533,-76.233
0.386,-0.714,1.365,-43.396,195.374,-50.415
0.325,-0.641,1.341,-53.223,194.031,-32.104
0.313,-0.532,1.271,-67.749,189.514,-17.090
0.317,-0.417,1.152,-80.811,179.626,-8.240
0.309,-0.368,1.016,-85.754,165.161,-3.540
0.274,-0.371,0.888,-80.627,147.217,4.395
0.216,-0.373,0.794,-68.909,127.502,15.991
0.161,-0.337,0.745,-53.162,108.826,26.611
0.120,-0.254,0.722,-37.415,91.492,31.372
0.070,-0.186,0.706,-25.208,75.256,28.381
0.007,-0.169,0.701,-19.104,62.073,20.813
-0.046,-0.179,0.697,-23.315,52.429,14.038
-0.067,-0.186,0.681,-30.579,43.640,10.010
-0.068,-0.183,0.659,-34.180,33.386,7.751
-0.072,-0.188,0.635,-33.813,22.461,7.019
-0.078,-0.195,0.612,-30.762,10.925,7.874
-0.082,-0.200,0.600,-25.574,-0.549,9.705
-0.092,-0.203,0.612,-19.653,-10.437,11.475
-0.114,-0.203,0.649,-13.794,-17.212,13.000
-0.140,-0.206,0.697,-9.460,-21.179,14.404
-0.151,-0.203,0.742,-5.981,-23.132,15.869
-0.165,-0.194,0.787,-3.357,-23.621,15.686
-0.182,-0.183,0.831,-3.052,-22.766,14.099
-0.189,-0.175,0.865,-3.540,-20.325,11.902
-0.195,-0.176,0.883,-3.601,-16.968,10.437
-0.196,-0.181,0.888,-2.441,-13.977,10.559
-0.194,-0.187,0.885,0.000,-11.780,11.414
-0.194,-0.187,0.885,3.296,-10.315,12.207
-0.192,-0.174,0.897,7.690,-8.972,11.963
-0.193,-0.162,0.911,11.108,-8.484,11.169
-0.199,-0.159,0.927,13.733,-8.118,10.193
-0.205,-0.167,0.946,13.306,-6.897,8.728
-0.209,-0.178,0.963,10.742,-5.371,7.874
-0.203,-0.175,0.974,7.141,-3.906,7.324
-0.196,-0.170,0.975,3.357,-3.601,6.348
-0.191,-0.170,0.972,0.061,-3.784,5.127
-0.183,-0.172,0.965,-1.526,-4.028,4.150
-0.181,-0.173,0.961,0.854,-4.883,3.845
-0.181,-0.176,0.965,4.028,-6.287,4.272
-0.182,-0.181,0.973,6.042,-7.324,4.944
-0.184,-0.181,0.985,6.531,-7.263,4.700
-0.187,-0.182,0.998,5.188,-6.165,3.601
-0.190,-0.177,1.005,2.625,-4.333,2.380
-0.192,-0.168,0.998,0.061,-3.052,0.671
-0.190,-0.170,0.992,0.732,-2.197,-0.854
-0.185,-0.178,0.995,3.479,-1.221,-1.099
-0.178,-0.186,0.997,5.493,-0.488,-0.244
-0.173,-0.193,0.995,7.385,-0.610,0.549
-0.173,-0.202,0.995,7.751,-1.282,0.732
-0.178,-0.214,0.995,5.920,-1.709,0.793
-0.178,-0.217,0.995,3.479,-2.075,1.160
-0.173,-0.213,0.997,0.977,-2.808,1.160
-0.171,-0.208,0.998,-1.160,-3.052,0.732
-0.169,-0.203,1.001,-2.502,-2.930,0.244
-0.170,-0.201,1.003,-2.258,-2.197,-0.488
-0.175,-0.206,1.000,-2.197,-0.977,-1.160
-0.176,-0.215,0.993,-2.197,0.305,-1.343
-0.173,-0.221,0.981,-1.953,1.221,-1.099
-0.166,-0.219,0.972,-0.732,1.160,-0.244
-0.162,-0.215,0.971,1.282,0.366,0.977
-0.167,-0.212,0.978,2.136,0.244,1.343
-0.173,-0.209,0.984,0.610,0.916,0.549
-0.171,-0.211,0.981,-1.648,1.404,-0.122
-0.167,-0.215,0.970,-2.686,1.587,-0.061
-0.160,-0.213,0.956,-1.831,1.282,0.488
-0.155,-0.214,0.948,1.038,0.366,0.916
-0.153,-0.222,0.949,3.784,-0.366,1.709
-0.150,-0.222,0.953,4.578,-0.732,2.625
-0.153,-0.219,0.955,3.906,-1.221,2.930
-0.156,-0.214,0.954,2.808,-1.587,2.808

0.581,-0.312,1.927,136.658,55.847,-332.458
0.587,-0.362,1.963,85.754,90.942,-335.876
0.607,-0.421,1.941,24.414,126.892,-336.182
0.667,-0.468,1.860,-28.259,158.264,-329.224
0.723,-0.498,1.713,-60.120,179.871,-310.913
0.720,-0.535,1.573,-69.214,197.388,-282.349
0.675,-0.584,1.505,-61.401,210.937,-244.873
0.614,-0.646,1.476,-42.908,224.121,-203.186
0.529,-0.673,1.477,-20.508,237.976,-162.903
0.487,-0.590,1.469,-15.198,248.840,-128.967
0.487,-0.499,1.386,-26.489,248.596,-106.262
0.467,-0.479,1.258,-34.119,238.037,-89.294
0.434,-0.493,1.121,-36.377,218.750,-71.350
0.354,-0.548,1.009,-36.011,198.181,-49.683
0.260,-0.589,0.963,-32.654,184.326,-27.100
0.191,-0.591,0.962,-30.701,173.584,-5.615
0.122,-0.594,0.970,-31.616,165.527,15.747
0.070,-0.597,0.949,-38.452,159.790,38.208
0.069,-0.547,0.908,-46.692,152.466,61.890
0.072,-0.453,0.868,-53.650,143.188,81.360
0.050,-0.348,0.833,-51.636,130.798,92.529
0.023,-0.217,0.800,-45.227,114.075,94.116
-0.025,-0.122,0.771,-34.485,93.750,88.684
-0.101,-0.104,0.764,-24.536,74.951,79.224
-0.172,-0.131,0.767,-23.926,61.951,70.190
-0.217,-0.178,0.776,-35.034,54.016,64.453
-0.241,-0.227,0.790,-52.795,50.232,63.538
-0.246,-0.249,0.790,-72.876,48.950,66.406
-0.237,-0.240,0.760,-89.111,46.204,70.801
-0.228,-0.217,0.715,-92.041,41.199,75.378
-0.234,-0.187,0.670,-81.787,34.363,79.956
-0.252,-0.153,0.627,-64.758,25.452,84.778
-0.267,-0.131,0.591,-45.166,14.893,88.867
-0.281,-0.113,0.571,-25.513,2.808,91.736
-0.300,-0.084,0.575,-6.653,-8.118,92.468
-0.320,-0.036,0.606,9.277,-17.090,89.600
-0.339,0.027,0.651,18.921,-24.597,82.520
-0.367,0.089,0.691,22.888,-29.846,70.435
-0.405,0.138,0.728,21.301,-32.288,54.321
-0.424,0.155,0.755,13.611,-33.813,36.804
-0.413,0.155,0.759,6.775,-36.194,20.752
-0.402,0.159,0.746,2.930,-40.955,6.836
-0.393,0.140,0.740,1.770,-48.157,-6.470
-0.381,0.098,0.742,1.465,-56.091,-18.250
-0.375,0.042,0.758,2.258,-62.927,-27.222
-0.374,-0.022,0.811,4.089,-65.857,-31.555
-0.377,-0.069,0.886,3.479,-62.805,-30.090
-0.387,-0.087,0.953,1.526,-55.603,-24.597
-0.400,-0.089,0.997,-1.526,-46.387,-19.043
-0.396,-0.080,1.012,-5.432,-36.682,-15.320
-0.380,-0.068,1.002,-5.188,-28.625,-14.343
-0.364,-0.064,0.988,1.160,-22.705,-14.771
-0.343,-0.067,0.996,9.521,-18.188,-14.282
-0.330,-0.088,1.023,8.667,-14.038,-10.376
-0.346,-0.107,1.021,6.775,-9.583,-6.531
-0.359,-0.109,1.011,7.568,-5.127,-6.348
-0.350,-0.117,1.013,1.343,-1.709,-9.094
-0.345,-0.151,0.975,-4.700,0.122,-11.292
-0.338,-0.193,0.933,-1.099,0.061,-10.132
-0.325,-0.197,0.938,4.028,-1.343,-6.531
-0.309,-0.173,0.965,0.854,-2.869,-2.380
-0.300,-0.169,0.965,1.343,-2.869,0.610
-0.301,-0.171,0.956,3.906,-3.113,2.991
-0.300,-0.161,0.962,3.540,-4.456,5.188
-0.300,-0.147,0.963,2.075,-6.653,7.202
-0.314,-0.136,0.967,4.456,-8.240,6.958
-0.325,-0.131,0.982,5.249,-8.728,5.066
-0.330,-0.128,1.000,3.174,-7.690,2.563
-0.330,-0.124,1.014,-0.549,-5.554,0.122
-0.329,-0.119,1.017,-6.897,-3.357,-2.014
-0.324,-0.118,1.008,-13.184,-1.160,-4.150
-0.314,-0.119,0.994,-16.174,0.183,-6.104
